,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,374105,UPHC Shankar Nagar Adoni,Adoni,Andhra Pradesh,Kurnool,Adoni,518301,15,77,09:00:00,18:00:00,Free,"[{'session_id': '6ed86347-8710-41ea-8252-78961578cbe0', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
1,599973,PHC Bairluty,Atmakur,Andhra Pradesh,Kurnool,Atmakur,518422,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'af72ee1e-0512-4cd8-ba12-6830a4e06844', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
2,600281,PHC R S Rangapuram,R S Rangapuram,Andhra Pradesh,Kurnool,Banaganapalli,518599,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'b5d0f4bd-4587-48fa-aaf6-530f3c8a2f02', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
3,591018,PHC BANDIATMAKUR,BANDI ATMAKUR PHC,Andhra Pradesh,Kurnool,Bandi Atmakur,518523,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'e7ac37e5-b392-434f-a421-3f5ce8c0acae', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
4,599934,PHC Hardhageri,Halaharvi,Andhra Pradesh,Kurnool,Halaharvi,518348,15,77,09:00:00,18:00:00,Free,"[{'session_id': 'efe37329-5a40-4f56-8d1b-bd045998fe65', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
5,292626,Peddayemmanur Phc,Peddayemmanur,Andhra Pradesh,Kurnool,Uyyalawada,518155,15,78,09:00:00,18:00:00,Free,"[{'session_id': '21cd85e8-6a1f-4a55-aef6-148b39a4e1b1', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
6,600035,PHC Yerramattam,Pamulapadu,Andhra Pradesh,Kurnool,Kothapalle,518422,15,78,09:00:00,18:00:00,Free,"[{'session_id': '8f36631e-31f0-4e1e-9591-e16f27be1445', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
7,600155,PHC W Kothapalle,W Kothapalle,Andhra Pradesh,Kurnool,Dornipadu,518135,15,78,09:00:00,18:00:00,Free,"[{'session_id': '5c0b24f2-f1f1-4628-83ee-65ee2baff140', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
8,600283,PHC Maddikera,Maddikera,Andhra Pradesh,Kurnool,Maddikera East,518385,15,77,09:00:00,18:00:00,Free,"[{'session_id': '72e2116f-4910-4d66-b2f2-b318030cb1b2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
9,600159,UPHC DevaNagar Nandyal,DevaNagar Nandyal,Andhra Pradesh,Kurnool,Yemmiganur,518501,15,78,09:00:00,18:00:00,Free,"[{'session_id': '41e9405a-eb70-4a6f-9794-df0b5a85fbc3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
10,600146,PHC Kothaburju,Kothaburju,Andhra Pradesh,Kurnool,Dhone,518222,15,77,09:00:00,18:00:00,Free,"[{'session_id': 'ad31a4bc-5cb4-416d-b4f5-dfda127ec4ce', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
11,582224,PHC Uppalapadu OWK,BC MPPS SCHOOL,Andhra Pradesh,Kurnool,Owk,518122,15,78,09:00:00,18:00:00,Free,"[{'session_id': '9d871578-e724-478c-b11d-7271a456aa3e', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
12,600144,PHC Jaladurgam,Jaladurgam,Andhra Pradesh,Kurnool,Dhone,518220,15,77,09:00:00,18:00:00,Free,"[{'session_id': '52449c14-0f87-4ce2-ab45-476066c48452', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
13,600158,PHC Puchakayala Mada,Near Kasim Swamy DargaBc Colony,Andhra Pradesh,Kurnool,Pattikonda,518380,15,77,09:00:00,18:00:00,Free,"[{'session_id': '597f67b1-9516-4284-a680-4c8b95aac5e5', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
14,600311,PHC Gajullapalli,Gajullapalle,Andhra Pradesh,Kurnool,Mahanandi,518583,15,78,09:00:00,18:00:00,Free,"[{'session_id': '1f74c6aa-8dd7-4fd9-b501-c7e4ec4511b3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
15,601552,UPHC M S Nagar Yemmiganur,28Ms Nagar,Andhra Pradesh,Kurnool,Yemmiganur,518360,15,77,09:00:00,18:00:00,Free,"[{'session_id': '02b43eb7-0f5d-45f5-9ccc-6bc8b1b8e7a0', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
16,599831,PHC Chagalamarri,Chagalamarri,Andhra Pradesh,Kurnool,Chagalamarri,518553,14,78,09:00:00,18:00:00,Free,"[{'session_id': '62b6650e-dbc8-452c-8e16-1b0a1b7c6af9', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
17,292589,PHC Pamulapadu,Pamulapadu Phc,Andhra Pradesh,Kurnool,Maddur,518442,15,78,09:00:00,18:00:00,Free,"[{'session_id': '7d4c7d5d-fb00-45dc-b355-7c4cec70b835', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
18,600313,PHC Gonegandla,Near Bus StandKurnool Road,Andhra Pradesh,Kurnool,Gonegandla,518463,15,77,09:00:00,18:00:00,Free,"[{'session_id': '8d177314-c352-4d1b-9455-5da4433f8785', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
19,581431,PHC Chippagiri1,M P P School Near Satthar Durga,Andhra Pradesh,Kurnool,Chippagiri,518396,15,77,09:00:00,18:00:00,Free,"[{'session_id': '7b4c49e0-8e40-4549-9ad9-5500a3ecacab', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
20,581933,PHC Jupadu Bunglow,Jupadu Bunglow PHC,Andhra Pradesh,Kurnool,Jupadu Bungalow,518401,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'd02c35ff-08d5-48c5-ab0c-4b0e42a02f12', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
21,583904,UPHC Shareen Nagar,Sharren Nagar,Andhra Pradesh,Kurnool,Kurnool,518002,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'c687992f-1da0-497d-be89-2d7cbc2f9da9', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
22,600341,PHC Nannur,Nannur,Andhra Pradesh,Kurnool,Orvakal,518002,15,78,09:00:00,18:00:00,Free,"[{'session_id': '086000d2-6a44-4659-9bf2-f848453ac0d1', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
23,601637,PHC PALUKUR,PHC PALUKURPHC PALUKUR,Andhra Pradesh,Kurnool,Banaganapalle,518124,15,78,09:00:00,18:00:00,Free,"[{'session_id': 'bc324c36-fe69-46cd-86f5-d149c85bc751', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
24,591067,PHC KOTTALCHERUVU,KOTTALCHERUVU,Andhra Pradesh,Kurnool,Atmakur,518422,15,78,09:00:00,18:00:00,Free,"[{'session_id': '0bf7797b-35d7-4b46-9c34-f3830f92eb0c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:55.987984
