,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,563084,Maharaja Agreson Dwarka1,"Dwarka Sector, 1 Near Palam Flyover ,pin 110077",Delhi,South West Delhi,Not Applicable,110077,28,76,09:00:00,17:00:00,Paid,"[{'session_id': 'ded4d65e-1cfa-43e0-972f-222081c715f3', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
1,8112,Dada Dev Hospital DH,Dabri New Delhi-110045,Delhi,South West Delhi,Not Applicable,110045,28,77,09:00:00,16:00:00,Free,"[{'session_id': '5667a554-1c1f-41ff-a42e-9b31bff52bd3', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}, {'session_id': '966a9938-82d6-40a2-b8af-a7b40f62e97b', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '7edd4672-d64f-4976-969f-d4c345b49e2a', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}, {'session_id': '7888d415-ffe0-4ba6-9f03-6bb8980490bc', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-03:00PM']}]",2021-05-08 16:38:34.032745
2,7986,DGD Chhawla PHC,Village And Post Office Chhawla Near Radha Krishan Mandir Chhawla New Delhi - 110071,Delhi,South West Delhi,Not Applicable,110071,28,77,09:00:00,17:00:00,Free,"[{'session_id': 'e18b9a85-0c6d-4684-ac5b-21dea3899867', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': 'd6bf5850-271b-44f4-ae95-7c30b8a05125', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '5d07b0a6-5c9c-4dd2-a2f2-b4efce94ea02', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '7a0914db-2cbd-4f94-acf4-871ec118f5b4', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
3,561056,Human Care Medical Charitable,Sector 6 Dwarka Near MTNL Building New Delhi 110075,Delhi,South West Delhi,Not Applicable,110077,28,77,09:00:00,21:00:00,Paid,"[{'session_id': '4c03c1a9-3d99-44b9-b09f-bccc0abc836a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': '91fb287a-d2d6-4d77-ab0b-4222815b653c', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': 'a43916a3-96f6-4c5f-a776-6018c4719fba', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': '90e663ec-94aa-4efa-9d11-e310d4f00e03', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': '162125ec-c271-44ca-947f-f8f1f4252f5f', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': '2122c1ba-28e3-420a-8bd9-c4872d7f0bb3', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}, {'session_id': '5317e319-2c5e-493e-89a4-afc7f6afb1da', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}]",2021-05-08 16:38:34.032745
4,561167,BHAGAT CHANDRA HOSPITAL,"RZF1-1, MAHAVIR ENCLAVE, NEAR PALAM DWARKA FLYOVER, NEW DELHI 110045",Delhi,South West Delhi,Not Applicable,110045,28,76,09:00:00,21:00:00,Paid,"[{'session_id': 'ed4de987-f810-4b9e-bfe0-6029e6a5e6df', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']}]",2021-05-08 16:38:34.032745
5,651361,MATA ROOP RANI MAGGO HOSPITAL1,C8-C9 OM VIHAR PHASE 1 UTTAM NAGAR OPPOSITE METRO PILLAR NO 709 NEW DELHI 110059,Delhi,South West Delhi,Not Applicable,110059,28,77,09:00:00,17:00:00,Paid,"[{'session_id': '4e4b0006-f6e4-4c08-9f9b-ce1e63e87477', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': 'a7249e6d-f173-4ef5-9d93-b527bbe2d277', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': 'a4100526-18a3-4ab1-928d-defff070e8b7', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '4e8cd0ab-6e19-4361-aec6-5d9626acf5ec', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'b7cc8628-9420-418e-89b4-d831d1391633', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'bcf79873-04a3-4ebf-96db-1c463f585b89', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'ec2259d1-245e-49fb-aafd-6c1e8e047fd6', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:38:34.032745
6,693751,GOVT. GIRLS SCHOOL NAJAFGARH 3,NAJAFGARHSCHOOL ID-1822060,Delhi,South West Delhi,Not Applicable,110043,22,77,09:00:00,17:00:00,Free,"[{'session_id': 'fdf03916-9933-4ec8-a5ce-a05be6de5662', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
7,8107,CGHS Dispensary Palam PHC,CGHS Palam D-66 PHC,Delhi,South West Delhi,Not Applicable,110045,28,77,09:00:00,17:00:00,Free,"[{'session_id': '92942ea3-ab81-4997-ba39-ce7ec63713f1', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': 'b5be0f60-70df-484f-aeb5-55436527225b', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '86920c2a-571e-498b-9556-21192f7a6e0a', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': 'a910d083-930a-442a-8d3a-23eb5133742d', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
8,662591,SPUHC Gopal Nagar PHC.,"RZ-31, M-Block,Gopal Nagar,Near Radhika Vatika,Najafgarh",Delhi,South West Delhi,Not Applicable,110043,28,76,13:00:00,17:00:00,Free,"[{'session_id': '0f85b6b3-a3ab-4a72-9cbc-50f61de190e8', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['01:00PM-02:00PM', '02:00PM-03:00PM', '03:00PM-04:00PM', '04:00PM-05:00PM']}, {'session_id': 'bb5a19b7-eefb-4ff1-8f84-a0fb83828889', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['01:00PM-02:00PM', '02:00PM-03:00PM', '03:00PM-04:00PM', '04:00PM-05:00PM']}, {'session_id': 'b8a1f318-f7c8-4f58-b62c-28055da89df1', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['01:00PM-02:00PM', '02:00PM-03:00PM', '03:00PM-04:00PM', '04:00PM-05:00PM']}, {'session_id': '1575e1c0-61fa-4c0b-bebb-a9c46863fe13', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['01:00PM-02:00PM', '02:00PM-03:00PM', '03:00PM-04:00PM', '04:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
9,693802,GBSSS JANAKPURI BLOCK-A 5,BLOCK-A JANAKPURI SCHOOL ID 1618065,Delhi,South West Delhi,Not Applicable,110059,28,77,09:00:00,17:00:00,Free,"[{'session_id': '28114efd-8e6d-4ebb-8239-72bfc134bf22', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 16:38:34.032745
