,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,575961,PHC Soja,,Gujarat,Gandhinagar,Kalol,382735,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'bc756cc2-63a1-4333-bcbb-08451bdd8ae0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
1,607088,COVAX UPHC KALOL 1,AT POST KALOL URBAN 1,Gujarat,Gandhinagar,Kalol,382721,23,72,09:00:00,18:00:00,Free,"[{'session_id': '57d67a86-107e-450c-bb59-b8339f6c959c', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
2,570027,PHC Bahiyal,PHC Bahiyal,Gujarat,Gandhinagar,Dahegam,382308,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7f2a08bb-1a8f-415a-b790-cd0175774a9e', 'date': '08-05-2021', 'available_capacity': 0.19999999999999996, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
3,567005,CHC Dahegam,Dahegam,Gujarat,Gandhinagar,Dahegam,382305,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'f8b2d307-a7fa-4eb0-9ba1-90fe085b9d71', 'date': '08-05-2021', 'available_capacity': 0.19999999999999996, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
4,567485,CHC Dingucha,CHC Dingucha,Gujarat,Gandhinagar,Kalol,382740,23,72,09:00:00,18:00:00,Free,"[{'session_id': '1b545ffe-c7fd-4a8e-a9a4-5c9c221401bb', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
5,577456,PHCKadadara,PHCKadadara,Gujarat,Gandhinagar,Dahegam,382305,0,0,09:00:00,18:00:00,Free,"[{'session_id': 'a1ce543b-822b-49bd-ba47-96b44e76f66a', 'date': '08-05-2021', 'available_capacity': 0.19999999999999996, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
6,566080,CHC Charada,CHC Charada,Gujarat,Gandhinagar,Mansa,382810,23,72,09:00:00,18:00:00,Free,"[{'session_id': '22504d46-7db0-44cf-b0d7-cac82e356d90', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
7,576024,PHC Unava,PHC Unava,Gujarat,Gandhinagar,Gandhinagar,382630,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'df0f06ea-bc91-46ec-a9b5-fcebed29ba01', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
8,575853,PHC Vadodara,PHC Vadodara,Gujarat,Gandhinagar,Gandhinagar,382355,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cea958aa-051c-4fce-a85c-1002cd9aa543', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
9,630280,SHC PADUSMA,,Gujarat,Gandhinagar,Mansa,382810,23,72,09:00:00,18:00:00,Free,"[{'session_id': '221fd223-2cbd-4857-aa7a-58f3b90e9793', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 11:40:25.597765
