,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,576722,Balambha PHC,Balambha PHC,Gujarat,Jamnagar,Jodiya,361240,22,70,09:00:00,18:00:00,Free,"[{'session_id': '478047f4-01dc-4427-8912-cb749b88ef0e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
1,636127,MOTI VERAVAL SC,MOTI VERAVAL,Gujarat,Jamnagar,Lalpur,361012,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'cd9648cc-b83b-4743-83c3-0bd9832908eb', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
2,565915,PHC Vasai,PHC Vasai Opposite DVS SchoolDistrict Jamnagar,Gujarat,Jamnagar,Jamnagar,361006,22,69,09:00:00,18:00:00,Free,"[{'session_id': '84f48486-796a-4707-89ab-1151bc7c5b82', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'a5188355-82af-4273-8318-3aba0328860f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
3,641814,Jodiya-1 SC,Sub Center Jodiya-1,Gujarat,Jamnagar,Jodiya,361250,22,70,09:00:00,18:00:00,Free,"[{'session_id': '44b58fb5-851b-437f-8001-b621fd6f5618', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
4,695334,Sikka UHC Covaxine,SIkka UHC,Gujarat,Jamnagar,Jamnagar,361140,22,69,09:00:00,18:00:00,Free,"[{'session_id': '37db9d73-35a2-4b29-a7bd-2995bc3a9817', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
5,584436,PHC Dared FLW COVAXIN,PHC Dared HCW,Gujarat,Jamnagar,Jamnagar,361012,22,70,09:00:00,18:00:00,Free,"[{'session_id': '437c33e7-6493-4844-8bb0-18bbb6eadb4f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
6,382635,Naranpur Subcenter,Subcenter Naranpur Taluka Dsitrict Jamnagar,Gujarat,Jamnagar,Jamnagar,361012,23,69,09:00:00,18:00:00,Free,"[{'session_id': '704a34dd-6367-4f72-993b-789a4fe5d33e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc46a3bb-4bcf-40b4-993a-b45fe3680cb8', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'f7381aac-f25d-4ec0-ab6c-7dc3bfa51dda', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
7,639970,BERAJA (PASAYA)SC,AY BERAJA,Gujarat,Jamnagar,Jamnagar,361120,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'c30c7652-1598-4188-86c9-c7e81bdba4ae', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '76c2d68a-1211-4920-845d-747cf99d7093', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '5b916717-07cb-4213-8339-feb7bb4a7a10', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f5b3c17-5219-4aec-98e4-e6fb65090308', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'a72a8a38-6d69-447c-9518-f59637ce9411', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
8,584344,Falla PHC,Falla PHC,Gujarat,Jamnagar,Jamnagar,361120,22,70,09:00:00,18:00:00,Free,"[{'session_id': '05c1cf2c-c5cc-411e-964b-e08541ac8115', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
9,595094,Kalavad UHC,Kalavad UHC,Gujarat,Jamnagar,Kalavad,361160,22,70,09:00:00,18:00:00,Free,"[{'session_id': '5199762c-755f-47ea-b9e2-f6ea6dd1f40a', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:57:29.488015
