,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,591778,SULTANPURPHC,NEAR NEW BUS STAND OPP RDC BANK AT SULTANPUR,Gujarat,Rajkot,Gondal,364470,21,70,13:00:00,16:30:00,Free,"[{'session_id': 'f572a4f1-d508-485e-8dac-f7df38fc28ff', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['01:00PM-03:00PM', '03:00PM-04:30PM']}, {'session_id': 'd90f7c22-6537-4c3d-bd4a-ee28d0b22fb4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-12:00PM']}]",2021-05-09 04:30:36.283080
1,639540,UPHC Darbargadh,Darbargadh Dhoraji,Gujarat,Rajkot,Dhoraji,360410,21,70,09:00:00,19:00:00,Free,"[{'session_id': 'c9028d6c-2a47-4590-8997-d506d8753738', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-07:00PM']}]",2021-05-09 04:30:36.283080
2,646258,Prmary School Garnala,Garnala,Gujarat,Rajkot,Gondal,360311,21,70,14:30:00,17:00:00,Free,"[{'session_id': 'd8aff801-bb63-429a-b15b-f7bc4c9ab38c', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['02:30PM-04:30PM', '04:30PM-05:00PM']}, {'session_id': 'ce1bf9b3-0005-46fc-a588-320d342c12aa', 'date': '09-05-2021', 'available_capacity': 40, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-02:00PM']}]",2021-05-09 04:30:36.283080
3,577775,SDH Upleta,Cottage Hospital Upleta,Gujarat,Rajkot,Upleta,360490,21,70,09:00:00,17:00:00,Free,"[{'session_id': '1014fe64-1146-4dcc-8183-b46f365ec06e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}, {'session_id': '61bd2b40-8c81-4242-815e-4e6d9f27796c', 'date': '12-05-2021', 'available_capacity': 14, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-02:30PM', '02:30PM-04:30PM', '04:30PM-06:30PM']}, {'session_id': '5d6ec37b-f0d8-4e99-97ed-d5db37379ad3', 'date': '14-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-01:30PM', '01:30PM-06:00PM']}]",2021-05-09 04:30:36.283080
4,366867,Khambhala Sub Centre,Khambhala,Gujarat,Rajkot,Paddhari,360110,22,70,10:00:00,18:00:00,Free,"[{'session_id': '23bcdaec-ceed-47a0-8ce3-10430b881fb7', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
5,367172,Suki Sajdiyali Sc,Suki Sajdiyali,Gujarat,Rajkot,Rajkot,360025,22,70,09:00:00,18:00:00,Free,"[{'session_id': '99d7c1b0-7b5f-4d58-a97a-1fb787d98615', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
6,667688,Sc Motimarad-2,Sc Motimarad,Gujarat,Rajkot,Dhoraji,360421,21,70,09:00:00,18:00:00,Free,"[{'session_id': 'ec967ea5-5467-48ba-9078-cb564b2be302', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
7,367332,Jivapar Bamanbor,Jivapar Bamanbor,Gujarat,Rajkot,Rajkot,363621,22,70,09:00:00,18:00:00,Free,"[{'session_id': '85018490-aadd-4991-8b89-2e3e0f77a386', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
8,617648,PRIMARY SCHOOL TANASVA,TANASVA,Gujarat,Rajkot,Upleta,360490,0,0,09:00:00,18:00:00,Free,"[{'session_id': '85b3c927-98d4-4480-a704-7d5d40178806', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
9,557548,PRIMARY SCHOOL RANGPAR,AT RANGPAR TA JAMKANDORANA DIS RAJKOT,Gujarat,Rajkot,Jamkandorna,360405,21,70,09:00:00,18:00:00,Free,"[{'session_id': '2154fbcd-4f13-4dbe-9d38-299bb2ee5dea', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:36.283080
