,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,vaccine_fees,timestamp
0,692982,Meenatai Thakare Nerul 18-44 Y,Kamaladevi Birajdar Marg Sector-15 Nerul Near Nerul Railway Stn East Navi Mumbai,Maharashtra,Thane,,400706,19,73,09:00:00,17:00:00,Free,"[{'session_id': '7dd7d204-0ab3-4e76-813c-41b625eb94b6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
1,695380,Rajmata Jijau Airoli 18-44,Sector 3 Airoli Near Bus Depo Airoli Navi Mumbai,Maharashtra,Thane,Navi Mumbai Municipal Corporation,400708,19,72,09:00:00,17:00:00,Free,"[{'session_id': 'ba7b3c8a-9a0b-4812-9ca2-8455498d73be', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
2,692951,P.bhimsen Joshi Only 18 To44ys,Near Maxus Mall tembha Road Bhayander West,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401101,19,72,09:00:00,16:00:00,Free,"[{'session_id': 'c6dbf36e-2576-47a8-aefe-9567d6dabe00', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']}]",,2021-05-09 14:01:00.279433
3,616377,KDMC ART GALLARY 18 TO 44 YRS,Behind Ganpati Madir Lal Chowki Kalyan West,Maharashtra,Thane,Kalyan Dombivali Municipal Corporation,421301,19,73,10:00:00,17:00:00,Free,"[{'session_id': '39e3db02-5597-4f76-82cd-bef30df8c9aa', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
4,622686,Apollo Hospital Navi Mumbai,Plot 13 Parsik Hill Rd Sector 23 CBD Belapur Navi Mumbai Maharashtra 400614,Maharashtra,Thane,Navi Mumbai Municipal Corporation,400614,0,0,09:00:00,18:00:00,Paid,"[{'session_id': '65de21d5-a519-4a7a-bbb7-7feb134df1ce', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '896d0115-7fbd-449f-8d7f-ff08e065d9ad', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '404fe7e3-c42d-48f5-a93f-f2a2e0d552d2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'a3770395-baaa-4800-bc2f-c40b4a08c06c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]","[{'vaccine': 'COVISHIELD', 'fee': '850'}]",2021-05-09 14:01:00.279433
5,695388,General Hosp Vashi 18-44,St Mary Sec 10A Vashi Navi Mumbai,Maharashtra,Thane,Navi Mumbai Municipal Corporation,400703,19,72,09:00:00,17:00:00,Free,"[{'session_id': 'b474f67f-68c5-42dc-8289-b60cc2eab747', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
6,56834,PHALEGAON SUBCENTER KHADAVALI,Phalegaon KHADAVALI KALYAN,Maharashtra,Thane,Kalyan,421301,19,73,09:00:00,17:00:00,Free,"[{'session_id': '5033ffe6-f03c-42a0-b857-b47aa372bf66', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
7,565983,Dubey Hospital,At Nagar Palika Badlapur,Maharashtra,Thane,Ambernath,421503,19,73,09:00:00,17:00:00,Free,"[{'session_id': '0c69101c-b04e-40e0-8cc2-2bc1dc94abd0', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
8,56296,AGHAI PHC,Aghai,Maharashtra,Thane,Shahapur,421602,19,73,09:00:00,17:00:00,Free,"[{'session_id': 'eb9b7f7d-aeb9-444d-95e9-43b3ae6a296f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
9,57482,NARIVALI PHC,Narivali PHC,Maharashtra,Thane,Murbad,421401,19,73,09:00:00,17:00:00,Free,"[{'session_id': '5de99633-9eda-4132-b4de-d92ec7056554', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",,2021-05-09 14:01:00.279433
