,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,692689,CVC UPHC KIDWAI NAGAR CX18-44,KIDWAI NGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': '4925f8e5-30f8-4d8b-9ddd-722942b64a9a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:35:17.765276
1,606729,CVC 2 UPHC KIDWAI NAGAR CX,KIDWAI NAGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': 'd1a21be8-d9b1-43cb-9afb-a79784de9559', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:35:17.765276
0,692689,CVC UPHC KIDWAI NAGAR CX18-44,KIDWAI NGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': '4925f8e5-30f8-4d8b-9ddd-722942b64a9a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:37:19.429907
1,606729,CVC 2 UPHC KIDWAI NAGAR CX,KIDWAI NAGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': 'd1a21be8-d9b1-43cb-9afb-a79784de9559', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:37:19.429907
0,692689,CVC UPHC KIDWAI NAGAR CX18-44,KIDWAI NGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': '4925f8e5-30f8-4d8b-9ddd-722942b64a9a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:39:24.947980
1,606729,CVC 2 UPHC KIDWAI NAGAR CX,KIDWAI NAGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': 'd1a21be8-d9b1-43cb-9afb-a79784de9559', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:39:24.947980
0,692689,CVC UPHC KIDWAI NAGAR CX18-44,KIDWAI NGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': '4925f8e5-30f8-4d8b-9ddd-722942b64a9a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:41:26.567496
1,606729,CVC 2 UPHC KIDWAI NAGAR CX,KIDWAI NAGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': 'd1a21be8-d9b1-43cb-9afb-a79784de9559', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:41:26.567496
0,692689,CVC UPHC KIDWAI NAGAR CX18-44,KIDWAI NGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': '4925f8e5-30f8-4d8b-9ddd-722942b64a9a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:43:28.474570
1,606729,CVC 2 UPHC KIDWAI NAGAR CX,KIDWAI NAGAR,Uttar Pradesh,Kanpur Nagar,Kanpur City,208011,26,80,09:00:00,17:00:00,Free,"[{'session_id': 'd1a21be8-d9b1-43cb-9afb-a79784de9559', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 18:43:28.474570
